기준월,년,월,콘텐츠구분,서비스 형태,프로그램 제목,프로그램 코드,매출,KBS저작권료,외부저작권료
2025-01-01,2025,1,KBS,VOD,2023 코리안 페스티벌 -THE NEXT,T2022-0823,36,31,0
2025-01-01,2025,1,KBS,VOD,배틀트립 2,T2022-0818,114200,98212,0
2025-01-01,2025,1,KBS,VOD,세컨 하우스,T2022-0842,21949,18876,0
2025-01-01,2025,1,KBS,VOD,2022 서울 드라마 어워즈,T2022-0762,202,174,0
2025-01-01,2025,1,KBS,VOD,라운드 테이블,T2022-0717,1154,754,277
2025-01-01,2025,1,KBS,VOD,스포츠 골든벨,T2022-0755,1933,1662,0
2025-01-01,2025,1,KBS,VOD,광복 77주년 코리아 온 스테이지,T2022-0673,41,35,0
2025-01-01,2025,1,KBS,VOD,상상플러스,T2004-0949,444813,382539,0
2025-01-01,2025,1,KBS,VOD,서울 페스타 2022,T2022-0676,0,0,0
2025-01-01,2025,1,KBS,VOD,여걸파이브,V2006-0674,24319,20914,0
2025-01-01,2025,1,KBS,VOD,자유선언 주먹이 운다,AG2022-0006,194619,167372,0
2025-01-01,2025,1,KBS,VOD,해피선데이 여걸식스,V2006-0688,71432,61432,0
2025-01-01,2025,1,KBS,VOD,1박2일 시즌1,T2005-0230,22847915,19649207,0
2025-01-01,2025,1,KBS,VOD,옥탑방의 문제아들,T2018-0562,622527,535373,0
2025-01-01,2025,1,KBS,VOD,사장님 귀는 당나귀 귀,T2019-0063,22712261,19532544,0
2025-01-01,2025,1,KBS,VOD,빼고파,T2022-0105,17174,14770,0
2025-01-01,2025,1,KBS,VOD,개승자,T2021-0448,42115,36219,0
2025-01-01,2025,1,KBS,VOD,아기싱어,T2021-0480,53890,46345,0
2025-01-01,2025,1,KBS,VOD,해피 선데이 (슈퍼맨이 돌아왔다),T2013-0476,20633718,17744997,0
2025-01-01,2025,1,KBS,VOD,개는 훌륭하다,T2019-0348,891309,766526,0
2025-01-01,2025,1,KBS,VOD,신상 출시 편스토랑,T2019-0286,9790199,8419571,0
2025-01-01,2025,1,KBS,VOD,살림하는 남자들,T2016-0651,20728251,17826296,0
2025-01-01,2025,1,KBS,VOD,유희열의 스케치북,T2009-0165,166595,143272,0
2025-01-01,2025,1,KBS,VOD,불후의 명곡2,T2011-0781,7911597,6803973,0
2025-01-01,2025,1,KBS,VOD,갓파더,T2021-0421,30066,25857,0
2025-01-01,2025,1,KBS,VOD,오늘부터 무해하게,T2021-0432,1715,1475,0
2025-01-01,2025,1,KBS,VOD,2021 KBS 연예대상,T2021-0533,1524,1311,0
2025-01-01,2025,1,KBS,VOD,조선팝 어게인 송가인,T2021-0608,3778,3249,0
2025-01-01,2025,1,KBS,VOD,청춘야구단,T2022-0088,9986,8588,0
2025-01-01,2025,1,KBS,VOD,요즘 것들이 수상해,T2022-0199,2883,2479,0
2025-01-01,2025,1,KBS,VOD,2023 KBS 창작동요대회,T2023-0003,785,675,0
2025-01-01,2025,1,KBS,VOD,2022 KBS 창작동요대회,T2022-0002,30,26,0
2025-01-01,2025,1,KBS,VOD,국민MC 송해 추모 특집 다큐 내 인생 딩동댕,T2022-0639,2734,2351,0
2025-01-01,2025,1,KBS,VOD,백종원 클라쓰,T2021-0292,289503,248973,0
2025-01-01,2025,1,KBS,VOD,2022 KBS 가요대축제,T2022-0910,72880,62677,0
2025-01-01,2025,1,KBS,VOD,2021 KBS 가요대축제,T2021-0527,9356,8046,0
2025-01-01,2025,1,KBS,VOD,대국민 토크쇼 안녕하세요,T2010-1328,918456,789872,0
2025-01-01,2025,1,KBS,VOD,개그 콘서트,T2000-0065,14004570,12043930,0
2025-01-01,2025,1,KBS,VOD,1박2일 시즌2,CA2012-2013,945001,812701,0
2025-01-01,2025,1,KBS,VOD,노래가 좋아,T2016-0626,95346,81998,0
2025-01-01,2025,1,KBS,VOD,가요무대,T2000-0113,1947107,1674512,0
2025-01-01,2025,1,KBS,VOD,배틀 트립,T2016-0133,235191,202264,0
2025-01-01,2025,1,KBS,VOD,해피 투게더3,T2001-0932,411117,353561,0
2025-01-01,2025,1,KBS,VOD,우리동네 예체능,T2013-0145,253344,217876,0
2025-01-01,2025,1,KBS,VOD,청춘불패,T2009-0701,192366,165435,0
2025-01-01,2025,1,KBS,VOD,대화의 희열3,T2021-0229,73892,63547,0
2025-01-01,2025,1,KBS,VOD,언니들의 슬램덩크,T2016-0132,414427,356407,0
2025-01-01,2025,1,KBS,VOD,2021 KBS 연기대상,T2021-0532,9408,8091,0
2025-01-01,2025,1,KBS,VOD,대화의 희열2,T2019-0027,350893,301768,0
2025-01-01,2025,1,KBS,VOD,남자의 자격,T2009-0940,329666,283513,0
2025-01-01,2025,1,KBS,VOD,제 42회 청룡영화상 시상식,T2021-0531,8979,7722,0
2025-01-01,2025,1,KBS,VOD,트롯 전국체전,T2020-0376,291031,250287,0
2025-01-01,2025,1,KBS,VOD,우리가 사랑한 그 노래 새가수,T2021-0248,50184,43158,0
2025-01-01,2025,1,KBS,VOD,전국노래자랑,T2000-0054,1460063,1255654,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크,T2000-0027,349106,300231,0
2025-01-01,2025,1,KBS,VOD,청춘FC 헝그리 일레븐,T2015-0238,66678,57343,0
2025-01-01,2025,1,KBS,VOD,거기가 어딘데??,T2018-0220,57346,49318,0
2025-01-01,2025,1,KBS,VOD,인간의 조건 - 집으로,T2012-0785,101652,87421,0
2025-01-01,2025,1,KBS,VOD,연중 플러스,T2020-0378,1514,1302,0
2025-01-01,2025,1,KBS,VOD,대화의 희열,T2018-0511,47780,41091,0
2025-01-01,2025,1,KBS,VOD,정해인의 걸어보고서,T2019-0368,140576,120895,0
2025-01-01,2025,1,KBS,VOD,공포의 쿵쿵따,T2002-0064,148786,127956,0
2025-01-01,2025,1,KBS,VOD,아이돌 리부팅 프로젝트 더 유닛,T2017-0677,118142,101602,0
2025-01-01,2025,1,KBS,VOD,김생민의 영수증 시즌1,T2017-0661,34087,29315,0
2025-01-01,2025,1,KBS,VOD,트롯 매직유랑단,T2021-0085,34613,29767,0
2025-01-01,2025,1,KBS,VOD,위기탈출 넘버원,T2005-0396,68561,58962,0
2025-01-01,2025,1,KBS,VOD,열린음악회,T2000-0096,396064,340615,0
2025-01-01,2025,1,KBS,VOD,철부지 브로망스 -절찬상영중-,T2017-0707,5451,4688,0
2025-01-01,2025,1,KBS,VOD,노래 싸움 승부,T2016-0657,69258,59562,0
2025-01-01,2025,1,KBS,VOD,2021 스페셜 토크쇼 <Let's BTS>,T2021-0086,0,0,0
2025-01-01,2025,1,KBS,VOD,댄싱 하이,T2018-0433,10687,9191,0
2025-01-01,2025,1,KBS,VOD,위 캔 게임,T2020-1468,1710,1471,0
2025-01-01,2025,1,KBS,VOD,나는남자다,T2014-0119,38937,33486,0
2025-01-01,2025,1,KBS,VOD,청춘불패 2,T2011-0916,71043,61097,0
2025-01-01,2025,1,KBS,VOD,으라차차 만수로,T2019-0095,10417,8959,0
2025-01-01,2025,1,KBS,VOD,콘서트 7080,T2004-0105,52877,45474,0
2025-01-01,2025,1,KBS,VOD,용감한 가족,T2014-0853,17060,14672,0
2025-01-01,2025,1,KBS,VOD,씨름의 희열,T2019-0343,29725,25564,0
2025-01-01,2025,1,KBS,VOD,추석특집,CA9999-9999,40140,34520,0
2025-01-01,2025,1,KBS,VOD,땅만 빌리지,T2020-1566,18870,0,11020
2025-01-01,2025,1,KBS,VOD,김생민의 영수증,T2017-0661,6164,5301,0
2025-01-01,2025,1,KBS,VOD,하룻밤만 재워줘,T2017-0763,13005,11184,0
2025-01-01,2025,1,KBS,VOD,슈퍼맨이 돌아왔다 미공개 X파일,T2013-0476,40417,0,28292
2025-01-01,2025,1,KBS,VOD,나를 돌아봐,T2015-0205,7241,6227,0
2025-01-01,2025,1,KBS,VOD,출발 드림팀 시즌2,T2009-0698,31964,27489,0
2025-01-01,2025,1,KBS,VOD,퀴즈 위의 아이돌,T2020-0387,9732,8370,0
2025-01-01,2025,1,KBS,VOD,수미산장,T2021-0039,13549,0,8062
2025-01-01,2025,1,KBS,VOD,KBS 송년특집 We're HERO 임영웅,T2021-0518,0,0,0
2025-01-01,2025,1,KBS,VOD,악인전,T2020-0144,7944,6832,0
2025-01-01,2025,1,KBS,VOD,놓친 예능 따라잡기,T2020-1628,11366,9775,0
2025-01-01,2025,1,KBS,VOD,축구 야구 말구,T2020-1467,2266,1949,0
2025-01-01,2025,1,KBS,VOD,김승우의 승승장구,T2010-0040,30137,25918,0
2025-01-01,2025,1,KBS,VOD,2020 KBS 가요대축제,T2020-1623,6879,5916,0
2025-01-01,2025,1,KBS,VOD,컴백홈,T2021-0047,6085,5233,0
2025-01-01,2025,1,KBS,VOD,스튜디오 K,T2020-0307,55172,47448,0
2025-01-01,2025,1,KBS,VOD,웃음 충전소 - 타짱 스페셜,V2007-0019,2647,2276,0
2025-01-01,2025,1,KBS,VOD,랜선 장터,T2020-1472,1176,1011,0
2025-01-01,2025,1,KBS,VOD,2019 KBS 가요대축제,T2019-0424,9926,8536,0
2025-01-01,2025,1,KBS,VOD,유머 1번지,P012495,16263,13986,0
2025-01-01,2025,1,KBS,VOD,천하무적 야구단,T2009-0161,10202,8774,0
2025-01-01,2025,1,KBS,VOD,너는 내 운명(예능),T2013-0373,13,11,0
2025-01-01,2025,1,KBS,VOD,2020 KBS 연기대상,T2020-1625,4648,3997,0
2025-01-01,2025,1,KBS,VOD,가요대축제,T2016-0759,0,0,0
2025-01-01,2025,1,KBS,VOD,설특집,CA9999-9999,21685,18649,0
2025-01-01,2025,1,KBS,VOD,2017 KBS 연기대상,T2017-1167,9720,8359,0
2025-01-01,2025,1,KBS,VOD,1%의 우정,T2017-0764,9514,8182,0
2025-01-01,2025,1,KBS,VOD,발레교습소 백조클럽,T2017-1002,13991,12032,0
2025-01-01,2025,1,KBS,VOD,2018 KBS 가요대축제,T2018-0684,13132,11294,0
2025-01-01,2025,1,KBS,VOD,건반 위의 하이에나,T2017-0765,3130,2692,0
